"Short Key",Nombre,MAC,IP,Estado,Plaza,Grupo,Agent,PVSI,"PVSI Fecha","PVSI Hora",AgentResurtido,"Resurtido Fecha",Windows,Arquitectura,"RAM (GB)","Disco (GB)",BitLocker,"Download Path","Última Actividad"
HAGUB,AGUAPRIETA2,AUTO-REC-121,189.151.4.91,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",26-06-2026,17:58:26,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,476,,"D:\PVSI","2026-06-26 07:39:14"
HALTA,ALTARES,AUTO-REC-10407,187.158.62.159,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",26-06-2026,18:42:16,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Home",x64,8,461,,"D:\PVSI","2026-06-26 07:39:06"
ALTOL,ALTO-LUCERO,AUTO-REC-21,201.111.174.193,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:14:19,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,4,709,,"D:\PVSI","2026-06-26 07:38:57"
TALOB,ALVARO,AUTO-REC-12669,38.210.20.239,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,16:59:50,,,"Microsoft Windows 10 Pro",x64,8,931,,"D:\PVSI","2026-06-26 07:39:03"
AMERI,AMERICAS2,AUTO-REC-96,201.105.31.116,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,19:58:46,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,931,,"D:\PVSI","2026-06-26 07:39:15"
ANIMA,ANIMAS1,AUTO-REC-87,189.138.207.72,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,20:00:05,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,455,,"D:\PVSI","2026-06-26 07:38:52"
ARBOL,ARBOL02,AUTO-REC-49,201.105.49.195,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,19:58:00,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,456,,"D:\pvsi","2026-06-26 07:39:10"
ARCOS,ARCOSUR1,AUTO-REC-10327,201.97.222.160,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,07:33:16,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,10,953,,"D:\PVSI","2026-06-26 07:38:52"
MARME,ARMERIA-01-PV,AUTO-REC-12706,187.204.65.93,online,MANZA,MANZANILLO,3.67,"26.0.2_06.16 DBXW",26-06-2026,19:02:09,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,446,,"D:\PVSI","2026-06-26 07:39:15"
ATEN2,ATENAS2,AUTO-REC-70,201.111.189.151,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:32:05,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,911,,"D:\PVSI","2026-06-26 07:39:12"
TAUTO,AUTO1,AUTO-REC-78,201.105.97.102,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:08:22,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,7,447,,"D:\PVSI","2026-06-26 07:38:57"
AUTO2,AUTO2,AUTO-REC-31,201.105.124.92,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,07:16:11,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,912,,"D:\PVSI","2026-06-26 07:38:51"
00110,AUTOMOTIVO-PINO,AUTO-REC-91,187.223.28.161,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,17:49:18,,,"Microsoft Windows 11 Pro",x64,8,1405,,"D:\PVSI","2026-06-26 07:39:18"
AUTO3,AUTOMOTIVO3,BC:EE:7B:71:AC:FD,201.105.61.25,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,17:59:21,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,931,,"D:\PVSI","2026-06-26 07:38:58"
,AUX,D0:27:88:5A:2A:70,189.141.134.213,online,,,3.67,,,,,,"Microsoft Windows 10 Pro",x64,3,449,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:08"
,AUX,AUTO-REC-40750,187.199.225.175,offline,,,3.67,,,,,,"Microsoft Windows 10 Pro",x64,3,449,,"C:\ProgramData\DistributionAgent\files","2026-06-23 22:47:04"
,AUXILIAR,AUTO-REC-40755,187.224.1.159,online,,,3.67,,,,,,"Microsoft Windows 10 Pro",x64,5,111,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:38:49"
,B2BA,AUTO-REC-40747,189.176.52.26,online,,,3.67,,,,,,"Microsoft Windows 11 Home Single Language",x64,8,454,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:07"
,B2BALAM,AUTO-REC-30,189.176.52.26,online,,,3.67,,,,,,"Microsoft Windows 11 Home Single Language",x64,8,475,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:01"
CBACA,BACALAR-PVSI,E8:65:38:CE:93:63,187.150.181.28,online,CHETU,CHETUMAL,3.67,"26.0.2_06.21 DBXW",26-06-2026,08:38:32,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:39:17"
HBACH,BACHOCO,D0:F4:05:3B:55:E4,189.173.207.161,online,HERMO,HERMOSILLO,3.72,"26.0.2_06.21 DBXW",25-06-2026,13:14:26,,,"Microsoft Windows 11 Home",x64,8,461,,"D:\pvsi","2026-06-26 07:39:17"
HBAHI,BAHIADEKINO,AUTO-REC-39034,189.173.15.164,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.16 DBXW",21-06-2026,16:11:26,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:39:12"
00105,BDIAN,AUTO-REC-11708,187.223.183.186,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:01:46,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,915,,"D:\PVSI","2026-06-26 07:39:08"
CBELI,BELICE-PVSI,AUTO-REC-4411,187.155.231.52,online,CHETU,CHETUMAL,3.67,"26.0.2_06.11 DBXW",12-06-2026,08:34:37,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:39:00"
00095,BODEGA-CSL,AUTO-REC-10354,187.199.216.163,online,BAJAC,,3.67,"26.0.2_06.13 DBXW",24-06-2026,12:26:17,,,"Microsoft Windows 10 Home Single Language",x64,6,297,,"D:\PVSI","2026-06-26 07:39:04"
TBOUL,BOULEVARD,AUTO-REC-11750,189.148.57.115,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,18:51:37,,,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:39:08"
CBRIT,BRITANIA,AUTO-REC-51,201.105.66.122,offline,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",25-06-2026,16:16:34,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,931,,"D:\pvsi","2026-06-25 21:00:41"
PRUEB,BRYANVAZQUEZ-PR,DC:97:BA:9F:DA:21,189.240.198.30,online,XALAP,,3.72,,,,,,"Microsoft Windows 10 Enterprise LTSC",x64,16,476,,"C:\Users\CARE\Documents\PVSI","2026-06-26 07:38:57"
GVENX,BTBPV,AUTO-REC-178,187.201.15.96,online,GUADA,GUADALAJARA,3.67,"26.0.2_06.16 DBXW",19-06-2026,10:25:38,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,455,,"D:\PVSI","2026-06-26 07:39:17"
CACAO,CACAHOATAN1,50:2B:73:D0:9A:56,189.148.14.193,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",24-06-2026,18:59:46,,,"Microsoft Windows 10 Pro",x86,3,931,,"D:\230823PVSI","2026-06-26 07:39:16"
TCAC2,CACAHOATAN2,D0:37:45:63:57:29,189.148.46.215,offline,TAPAC,TAPACHULA,3.67,"26.0.2_06.16 DBXW",22-06-2026,13:53:52,,,"Microsoft Windows 11 Pro",x64,8,464,,"D:\PVSI","2026-06-20 14:06:00"
00078,CACHANIA-PVSI,AUTO-REC-166,187.223.19.96,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",25-06-2026,08:01:00,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:39:00"
TCAFE,CAFETALES,AUTO-REC-11752,189.148.20.108,online,TAPAC,TAPACHULA,3.67,"26.0.2_05.08 DBXW",13-06-2026,12:12:33,,,"Microsoft Windows 11 Pro",x64,8,919,,"D:\PVSI","2026-06-26 07:39:06"
00098,CAJA01,AUTO-REC-161,187.223.194.185,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:01:06,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,11,465,,"D:\PVSI","2026-06-26 07:39:01"
00046,CAJA01,AUTO-REC-410,187.199.34.170,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.7 R03.12.28",03-06-2026,06:29:44,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:38:57"
,CAJA01,AUTO-REC-71,189.141.134.213,online,,,3.67,"26.0.2_06.21 DBXW",25-06-2026,18:01:12,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,911,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:10"
,CAJA2FRONTERA,PENDING-DEL-40875,189.148.53.30,online,TAPAC,TAPACHULA,3.67,,,,,,"Microsoft Windows NT 6.2.9200.0",x64,,465,,"E:\CAJA2FRONTERA\PVSI","2026-06-26 07:39:09"
CCALZ,CALZADA,AUTO-REC-32,187.150.242.13,online,CHETU,CHETUMAL,3.67,"26.0.2_06.21 DBXW",26-06-2026,08:28:03,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:39:06"
HCAME,CAMELIA1,AUTO-REC-80,189.173.97.213,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",26-06-2026,19:33:03,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,476,,"D:\PVSI","2026-06-26 07:39:09"
00080,CAMINO-REAL,AUTO-REC-10346,187.223.255.248,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,17:55:22,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:39:08"
HCASE,CAMINODELSERI,AUTO-REC-10420,187.158.0.7,offline,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",26-06-2026,17:59:48,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,912,,"D:\PVSI","2026-06-25 23:07:55"
HCANA,CANANEA-PVSI,AUTO-REC-10411,189.197.219.181,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",26-06-2026,18:13:53,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,475,,"D:\PVSI","2026-06-26 07:39:01"
,CANGREJOS,AUTO-REC-17853,187.199.76.132,online,,,3.67,"26.0.2_06.11 DBXW",24-06-2026,12:14:57,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,455,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:12"
00086,CANGREJOSAUX,AUTO-REC-173,187.199.85.63,offline,BAJAC,"BAJA CALIFORNIA",3.67,,,,,,"Microsoft Windows 10 Home Single Language",x64,4,941,,"D:\PVSI","2026-06-24 17:14:05"
,CANGREJOSAUX,74:27:EA:DB:BA:3F,187.199.76.132,online,,,3.67,,,,,,"Microsoft Windows 10 Home Single Language",x64,4,941,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:18"
CCARR,CARRILLO-PVSI,AUTO-REC-169,187.155.224.29,online,CHETU,CHETUMAL,3.67,"26.0.2_06.21 DBXW",26-06-2026,16:52:24,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:39:15"
TCDH2,CDHIDALGO2,50:3E:AA:B2:59:21,189.148.54.177,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,18:05:41,,,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:39:10"
CENTR,CENTRAL_01,E0:D5:5E:50:51:68,189.150.152.151,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",25-06-2026,13:03:33,,,"Microsoft Windows 10 Pro",x64,4,476,,"D:\PVSI","2026-06-26 07:39:03"
00037,CENTRO,CC:96:E5:21:1D:71,187.199.118.129,online,BAJAC,,3.67,"26.0.2_06.21 DBXW",25-06-2026,17:58:54,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,456,,"D:\pvsi","2026-06-26 07:39:16"
T0017,CIHUATLAN-PV-01,AUTO-REC-12708,187.198.165.108,online,VALLA,VALLARTA,3.67,"26.0.2_06.16 DBXW",26-06-2026,19:02:25,,,"Microsoft Windows 11 Pro",x64,6,446,,"D:\PVSI","2026-06-26 07:39:06"
CIRCU,CIRCU01,AUTO-REC-19,187.192.126.16,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:06:12,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,913,,"D:\PVSI","2026-06-26 07:39:01"
CLAVI,CLAVIJERO1,AUTO-REC-62,201.111.162.10,offline,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,19:54:17,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,7,931,,"D:\PVSI","2026-06-25 21:00:26"
TCCAM,CLUBCAMPESTRE,AUTO-REC-40742,189.148.56.15,offline,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,16:57:14,,,"Microsoft Windows 10 Pro",x64,8,446,,"D:\PVSI","2026-06-25 17:03:16"
XCOAP,COAPEXPAN,20:53:8D:03:41:90,201.97.165.103,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:58:54,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,475,,"D:\PVSI","2026-06-26 07:38:49"
COAT1,COATEPEC101,AUTO-REC-133,201.111.224.207,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,07:31:38,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:39:10"
HCOLO,COLOSIO,AUTO-REC-10387,189.173.82.34,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",25-06-2026,08:05:55,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,476,,"D:\PVSI","2026-06-26 07:39:07"
00040,COLOSIO-PVSI,AUTO-REC-125,187.223.124.10,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:05:35,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Home Single Language",x64,8,916,,"D:\PVSI","2026-06-26 07:39:16"
BANDE,COMEX-BANDERILL,AUTO-REC-23,201.105.29.87,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:14:48,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,2,685,,"D:\PVSI","2026-06-26 07:39:15"
CAMPO,COMEX-CAMPO,AUTO-REC-134,201.111.236.161,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",25-06-2026,18:05:14,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,1406,,"D:\PVSI","2026-06-26 07:39:02"
CENAB,COMEX-CENTRAL,AUTO-REC-146,201.97.215.238,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,07:31:47,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,447,,"D:\pvsi","2026-06-26 07:39:08"
COAT4,COMEX-COATEPEC4,AUTO-REC-74,201.108.25.248,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",25-06-2026,17:40:55,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,455,,"D:\PVSI","2026-06-26 07:39:18"
00072,COMEX-MOGOTE,AUTO-REC-10342,187.223.145.225,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,17:59:01,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,1387,,"D:\PVSI","2026-06-26 07:38:57"
HSALU,COMEX-PC,AUTO-REC-118,189.173.17.156,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",26-06-2026,18:38:12,,,"Microsoft Windows 7 Professional",x86,3,298,,"D:\PVSI","2026-06-26 07:39:17"
HFUEN,COMEX-PC,AUTO-REC-10408,189.173.47.18,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",25-06-2026,13:19:20,,,"Microsoft Windows 7 Professional",x86,3,466,,"D:\PVSI","2026-06-26 07:39:17"
XTLAL,COMEX-TLALTETEL,AUTO-REC-136,187.251.140.113,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",25-06-2026,11:11:10,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,1175,,"D:\PVSI","2026-06-26 07:39:03"
,COMEXCARRIZAL,D8:43:AE:2A:D5:C2,201.111.190.68,offline,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",25-06-2026,09:13:33,,,"Microsoft Windows 11 Pro",x64,8,476,,"D:\PVSI","2026-06-25 18:06:54"
CARRI,COMEXCARRIZAL,AUTO-REC-60,201.111.189.180,offline,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",23-06-2026,11:28:10,,,"Microsoft Windows 11 Pro",x64,8,476,,"D:\PVSI","2026-06-23 16:24:49"
XSANM,COMEXSANMARCOS,AUTO-REC-137,201.105.48.28,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:05:40,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,475,,"D:\PVSI","2026-06-26 07:39:12"
XMIGU,COMEXSNMIGUEL,AUTO-REC-135,201.105.60.87,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,19:10:36,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,7,911,,"D:\PVSI","2026-06-26 07:39:11"
HURES,COMEXURES,B0:7B:25:2C:61:F8,189.173.159.179,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",26-06-2026,18:13:00,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,445,,"D:\PVSI","2026-06-26 07:38:54"
Z14GT,COMEXZONA14,AUTO-REC-61,181.209.144.228,offline,GUATE,GUATEMALA,3.67,"26.0.2_06.13 DBXW",25-06-2026,10:11:38,,,"Microsoft Windows 11 Pro",x64,8,678,,"D:\PVSI","2026-06-26 02:45:21"
CONGR,CONGRESO,AUTO-REC-50,201.105.22.93,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:02:22,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,4,931,,"D:\PVSI","2026-06-26 07:39:14"
00022,COROMUEL-PVSI,AUTO-REC-4568,187.223.12.35,offline,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.16 DBXW",18-06-2026,11:27:41,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-18 13:31:37"
00000,COROMUEL-PVSI,E0:73:E7:10:30:D8,187.223.177.13,online,BAJAC,,3.72,"26.7 R03.12.28",03-06-2026,11:35:39,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,1883,,"D:\","2026-06-26 07:39:12"
COSAU,COSAUTLAN,PENDING-DEL-40837,201.105.68.99,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",25-06-2026,08:10:55,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,4,940,,"D:\pvsi","2026-06-26 07:38:49"
COSTE,COSTERA01,1C:1B:0D:0B:7D:6E,189.148.10.28,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,18:48:13,,,"Microsoft Windows 10 Home Single Language",x64,4,2328,,"D:\PVSI","2026-06-26 07:39:05"
PCOZC,COZUMEL3,AUTO-REC-10350,189.174.74.16,online,PENLA,"PENINSULA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,05:02:04,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:39:18"
00084,DELTA-PVSI,AUTO-REC-10348,187.223.12.66,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:23:24,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,921,,"D:\PVSI","2026-06-26 07:39:02"
VESGT,DESKTOP-0DNJPA2,AUTO-REC-37,200.119.177.208,offline,GUATE,GUATEMALA,3.67,"26.0.2_06.18 DBXW",23-06-2026,13:36:47,,,"Microsoft Windows 10 Pro",x64,8,447,,"D:\PVSI","2026-06-25 16:36:53"
NALTA,DESKTOP-14K1FCT,AUTO-REC-150,186.1.1.26,online,NICAR,NICARAGUA,3.67,"26.0.2_06.16 DBXW",19-06-2026,07:31:45,,,"Microsoft Windows 11 Pro",x64,8,223,,"D:\PVSI","2026-06-26 07:39:06"
NLIVI,DESKTOP-1TEAGFM,PENDING-DEL-40872,186.1.40.10,online,NICAR,NICARAGUA,3.67,,,,,,"Microsoft Windows 11 Pro",x64,8,223,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:01"
PTULB,DESKTOP-21CC2DS,AUTO-REC-164,187.147.17.128,online,PENLA,"PENINSULA TIENDAS",3.67,"26.7 R03.12.28",03-06-2026,08:38:04,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,476,,"D:\PVSI","2026-06-26 07:39:14"
XXICB,DESKTOP-22SSL0B,AUTO-REC-24,201.105.69.226,offline,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,17:24:56,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,3,954,,"D:\PVSI","2026-06-25 17:33:19"
XLUZB,DESKTOP-2KS29KS,AUTO-REC-22,201.97.172.237,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:23:19,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,4,476,,"D:\PVSI","2026-06-26 07:38:52"
,DESKTOP-3CTMKOM,AUTO-REC-1791,190.148.50.139,online,,,3.67,"26.0.2_05.08 DBXW",03-06-2026,09:48:15,,,"Microsoft Windows 11 Pro",x64,8,446,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:14"
ANTGT,DESKTOP-3GOU8A8,AUTO-REC-56,190.143.186.96,online,GUATE,GUATEMALA,3.67,,,,,,"Microsoft Windows 10 Pro",x64,8,463,,"D:\PVSI","2026-06-26 07:39:17"
